TIMESTAMP;GC1 Comdty
2000-01-01;NA
2000-01-02;NA
2000-01-03;NA
2000-01-04;587.170000
2000-01-05;583.860000
2000-01-06;584.480000
2000-01-07;585.520000
2000-01-08;NA
2000-01-09;NA
2000-01-10;585.100000
2000-01-11;588.620000
2000-01-12;587.170000
2000-01-13;590.070000
2000-01-14;589.660000
2000-01-15;NA
2000-01-16;NA
2000-01-17;NA
2000-01-18;599.380000
2000-01-19;600.830000
2000-01-20;598.760000
2000-01-21;599.590000
2000-01-22;NA
2000-01-23;NA
2000-01-24;596.280000
2000-01-25;593.170000
2000-01-26;592.970000
2000-01-27;594.210000
2000-01-28;585.720000
2000-01-29;NA
2000-01-30;NA
2000-01-31;586.130000
2000-02-01;584.490000
2000-02-02;589.200000
2000-02-03;593.710000
2000-02-04;641.020000
2000-02-05;NA
2000-02-06;NA
2000-02-07;623.610000
2000-02-08;617.880000
2000-02-09;632.010000
2000-02-10;652.690000
2000-02-11;642.250000
2000-02-12;NA
2000-02-13;NA
2000-02-14;636.920000
2000-02-15;622.790000
2000-02-16;624.630000
2000-02-17;622.180000
2000-02-18;629.350000
2000-02-19;NA
2000-02-20;NA
2000-02-21;NA
2000-02-22;630.160000
2000-02-23;619.310000
2000-02-24;616.240000
2000-02-25;603.340000
2000-02-26;NA
2000-02-27;NA
2000-02-28;602.520000
2000-02-29;602.520000
2000-03-01;600.670000
2000-03-02;593.300000
2000-03-03;594.530000
2000-03-04;NA
2000-03-05;NA
2000-03-06;592.690000
2000-03-07;601.490000
2000-03-08;594.730000
2000-03-09;599.440000
2000-03-10;593.920000
2000-03-11;NA
2000-03-12;NA
2000-03-13;596.990000
2000-03-14;593.300000
2000-03-15;593.100000
2000-03-16;587.770000
2000-03-17;583.680000
2000-03-18;NA
2000-03-19;NA
2000-03-20;586.750000
2000-03-21;594.730000
2000-03-22;590.430000
2000-03-23;584.490000
2000-03-24;583.880000
2000-03-25;NA
2000-03-26;NA
2000-03-27;574.460000
2000-03-28;572.410000
2000-03-29;565.040000
2000-03-30;565.850000
2000-03-31;570.510000
2000-04-01;NA
2000-04-02;NA
2000-04-03;568.490000
2000-04-04;581.060000
2000-04-05;575.380000
2000-04-06;573.150000
2000-04-07;572.740000
2000-04-08;NA
2000-04-09;NA
